,parked,static,moving,not_moving,parked,static,moving,not_moving,parked,static,moving,not_moving,parked,static,moving
17NOV06111525-M3DS-011270707040_01_P001_ALL_M17,262.0,1.0,11.0,206.0,203.97925185288187,2.0207481471181223,75.0,162.0,160.32742255638672,1.6725774436132708,66.0,156.0,154.45324099174243,1.5467590082575695,4.0
17NOV06111525-M3DS-011270707040_01_P001_ALL_M18,615.0,17.0,149.0,548.0,498.0741187562777,49.925881243722266,125.0,465.0,429.0379218867268,35.96207811327321,115.0,385.0,377.4529231129706,7.547076887029365,56.0
17NOV06111525-M3DS-011270707040_01_P001_ALL_M19,181.0,8.0,17.0,150.0,147.96701429539303,2.032985704606964,67.0,125.0,123.27515086642639,1.724849133573614,54.0,115.0,113.8528409595361,1.147159040463902,10.0
17NOV06111525-M3DS-011270707040_01_P001_ALL_M20,973.0,4.0,79.0,968.0,952.1204097072595,15.879590292740593,83.0,810.0,797.1914816219268,12.808518378073318,73.0,750.0,741.0628980808901,8.93710191910985,6.0
17NOV06111525-M3DS-011270707040_01_P001_ALL_M21,336.0,0.0,16.0,325.0,315.61701009513314,9.382989904866879,44.0,267.0,259.36243981765267,7.6375601823472925,38.0,257.0,251.6637109237047,5.3362890762953095,2.0
17NOV06111525-M3DS-011270707040_01_P001_ALL_M22,945.0,3.0,42.0,886.0,881.7195190569123,4.2804809430877135,88.0,794.0,790.3028856094135,3.6971143905864703,79.0,773.0,769.8651375367896,3.1348624632103235,14.0
17NOV06111525-M3DS-011270707040_01_P001_ALL_M23,16.0,0.0,11.0,11.0,10.68389780154486,0.31610219845513965,16.0,11.0,10.68389780154486,0.31610219845513965,14.0,8.0,7.802436125965538,0.1975638740344623,7.0
17NOV06111525-M3DS-011270707040_01_P001_ALL_M24,419.0,5.0,93.0,529.0,522.728406318946,6.271593681054038,42.0,405.0,400.2478632048555,4.7521367951445095,39.0,347.0,344.5310001113494,2.4689998886506532,24.0
17NOV06111525-M3DS-011270707040_01_P001_ALL_M25,568.0,9.0,62.0,572.0,560.0316567648634,11.968343235136532,54.0,482.0,472.0258241924006,9.974175807599316,49.0,439.0,432.4318699678335,6.568130032166423,12.0
18FEB16111910-M3DS-010712624120_01_P001_ALL_2_20,219.0,0.0,21.0,161.0,159.05342691151282,1.946573088487184,36.0,149.0,147.18895216144855,1.8110478385514512,33.0,141.0,139.50505435990368,1.4949456400963115,7.0
18FEB16111910-M3DS-010712624120_01_P001_ALL_M6,638.0,10.0,69.0,696.0,689.8746321682428,6.125367831757225,39.0,618.0,612.6880699669509,5.311930033049052,36.0,560.0,556.9754880069177,3.0245119930823914,3.0
18JUL02111908-M3DS-010712624150_01_P001_ALL_3_6,2059.0,129.0,460.0,2116.0,1956.1152156124706,159.88478438752924,151.0,1963.0,1816.50970955918,146.4902904408199,144.0,1594.0,1531.6567736508675,62.34322634913252,77.0
18JUL02111908-M3DS-010712624150_01_P001_ALL_M7,1960.0,104.0,340.0,2157.0,1994.5528496929119,162.44715030708778,127.0,1965.0,1812.5153492419363,152.48465075806357,120.0,1661.0,1615.2749110326858,45.72508896731405,57.0
18JUL02111918-M3DS-010712624140_01_P001_ALL_M8,3094.0,15.0,200.0,3383.0,3353.5055288194076,29.49447118059223,98.0,3080.0,3054.545434728333,25.454565271667256,90.0,2931.0,2916.7235969623052,14.27640303769519,33.0
18JUL02111918-M3DS-010712624140_01_P001_ALL_M9,1120.0,60.0,261.0,1336.0,1286.8450124372102,49.15498756278964,63.0,1237.0,1190.4245534464706,46.57544655352927,58.0,1003.0,982.9821716184771,20.017828381522776,35.0
18JUL13111438-M3DS-010077737080_01_P001_ALL_6_22,2879.0,20.0,262.0,3181.0,3108.470465316841,72.5295346831591,88.0,2878.0,2812.509736991539,65.49026300846062,82.0,2675.0,2640.949461660092,34.05053833990781,51.0
18JUL13111438-M3DS-010077737080_01_P001_ALL_8_22,2193.0,66.0,218.0,2431.0,2373.4332430795153,57.566756920484636,63.0,2275.0,2219.5785367326735,55.421463267326644,62.0,2057.0,2029.9641904673897,27.03580953261001,27.0
18MAY15114756-M3DS-010712624130_01_P001_ALL_M11,815.0,13.0,169.0,1092.0,1060.9230617679818,31.076938232018172,65.0,918.0,892.2023246078063,25.797675392193664,56.0,762.0,749.3341446971931,12.665855302806879,22.0
18MAY15114756-M3DS-011270707050_01_P001_ALL_11_41,210.0,1.0,37.0,210.0,203.44013876698554,6.55986123301442,48.0,188.0,182.7577967925888,5.242203207411178,45.0,171.0,168.0384367817902,2.9615632182097995,17.0
18MAY15114756-M3DS-011270707050_01_P001_ALL_11_42,35.0,0.0,53.0,59.0,39.24555610106184,19.754443898938167,31.0,53.0,35.307389532067035,17.692610467932962,28.0,24.0,23.830500899034156,0.16949910096584378,22.0
18MAY15114756-M3DS-011270707050_01_P001_ALL_11_43,180.0,0.0,18.0,150.0,149.32094792546513,0.6790520745348516,36.0,141.0,140.36774081120706,0.6322591887929354,34.0,131.0,130.5403521323047,0.45964786769531807,5.0
18MAY15114756-M3DS-011270707050_01_P001_ALL_11_44,300.0,8.0,34.0,305.0,300.45857725343853,4.54142274656149,29.0,282.0,277.92877112148415,4.071228878515826,28.0,252.0,249.38302737959356,2.6169726204064125,7.0
18MAY15114756-M3DS-011270707050_01_P001_ALL_12_41,242.0,4.0,23.0,240.0,238.75800850747677,1.24199149252323,44.0,218.0,216.80654258037694,1.1934574196230716,43.0,206.0,205.4401724646402,0.5598275353597941,15.0
18MAY15114756-M3DS-011270707050_01_P001_ALL_12_42,69.0,0.0,64.0,69.0,56.576785189877945,12.423214810122051,75.0,58.0,48.478377878047596,9.5216221219524,72.0,44.0,43.89322503961965,0.10677496038034866,48.0
18MAY15114756-M3DS-011270707050_01_P001_ALL_12_43,235.0,0.0,19.0,210.0,208.85495571626313,1.1450442837368855,63.0,186.0,185.0933632068848,0.906636793115208,61.0,180.0,179.10792342875484,0.8920765712451604,11.0
18MAY15114756-M3DS-011270707050_01_P001_ALL_12_44,425.0,4.0,85.0,422.0,400.0842792090241,21.91572079097595,112.0,395.0,373.98876647300966,21.011233526990363,107.0,345.0,337.82127034380403,7.178729656195957,32.0
18NOV18110820-M3DS-010712624160_01_P001_ALL_7_30,1646.0,6.0,84.0,1433.0,1407.7014569432627,25.298543056737532,26.0,1239.0,1217.1501484237167,21.84985157628334,26.0,1188.0,1170.9281935909512,17.071806409049053,4.0
18NOV18110820-M3DS-010712624160_01_P001_ALL_M12,1215.0,31.0,65.0,1150.0,1089.6415620735454,60.35843792645435,39.0,944.0,895.0682333864191,48.931766613580955,35.0,872.0,844.9070171891666,27.092982810833437,3.0
18NOV18110849-M3DS-010712624170_01_P001_ALL_3_28,22.0,2.0,65.0,36.0,34.56086597108872,1.4391340289112882,23.0,30.0,29.07003641269133,0.9299635873086693,22.0,11.0,10.947077838056066,0.05292216194393443,22.0
18NOV18110849-M3DS-010712624170_01_P001_ALL_9_25,1065.0,41.0,174.0,999.0,932.870670356834,66.12932964316592,70.0,888.0,828.0356821194324,59.964317880567584,68.0,795.0,782.4773675278385,12.52263247216149,53.0
18MAY15114756-M3DS-010712624130_01_P001_ALL_M10,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
